W1,W2,R,t,MaxVonMisesStress_MPa
0.3000000000,0.1000000000,0.0300000000,0.0100000000,80.6113120000
0.5000000000,0.1250000000,0.0500000000,0.0150000000,44.2532760000
0.4000000000,0.1375000000,0.0400000000,0.0175000000,48.1327080000
0.6000000000,0.1125000000,0.0600000000,0.0125000000,45.3522880000
0.3500000000,0.1312500000,0.0650000000,0.0187500000,39.3341320000
0.5500000000,0.1062500000,0.0450000000,0.0137500000,44.5759920000
0.4500000000,0.1187500000,0.0550000000,0.0112500000,56.8995760000
0.6500000000,0.1437500000,0.0350000000,0.0162500000,47.3428040000
0.3250000000,0.1468750000,0.0575000000,0.0131250000,71.3662000000
0.5250000000,0.1218750000,0.0375000000,0.0181250000,39.3165920000
0.4250000000,0.1093750000,0.0675000000,0.0156250000,37.1026680000
0.6250000000,0.1343750000,0.0475000000,0.0106250000,62.9147240000
0.3750000000,0.1156250000,0.0425000000,0.0168750000,43.2502520000
0.5750000000,0.1406250000,0.0625000000,0.0118750000,53.8108040000
0.4750000000,0.1281250000,0.0325000000,0.0143750000,55.3535160000
0.6750000000,0.1031250000,0.0525000000,0.0193750000,28.8276320000
0.3125000000,0.1265625000,0.0462500000,0.0121875000,70.8061040000
0.5125000000,0.1015625000,0.0662500000,0.0171875000,31.2439740000
0.4125000000,0.1140625000,0.0362500000,0.0196875000,37.3945800000
0.6125000000,0.1390625000,0.0562500000,0.0146875000,44.1182960000
0.3625000000,0.1078125000,0.0512500000,0.0184375000,35.7992160000
0.5625000000,0.1328125000,0.0312500000,0.0134375000,58.7671240000
0.4625000000,0.1453125000,0.0612500000,0.0109375000,64.9293560000
0.6625000000,0.1203125000,0.0412500000,0.0159375000,41.0459640000
0.3375000000,0.1234375000,0.0637500000,0.0140625000,50.7912920000
0.5375000000,0.1484375000,0.0437500000,0.0190625000,40.1298720000
0.4375000000,0.1359375000,0.0537500000,0.0165625000,43.5119320000
0.6375000000,0.1109375000,0.0337500000,0.0115625000,58.3742840000
0.3875000000,0.1421875000,0.0387500000,0.0153125000,58.7325000000
0.5875000000,0.1171875000,0.0587500000,0.0103125000,56.7436480000
0.4875000000,0.1046875000,0.0487500000,0.0128125000,47.1652000000
0.6875000000,0.1296875000,0.0687500000,0.0178125000,32.1034460000
0.3062500000,0.1398437500,0.0681250000,0.0167187500,52.4681760000
0.5062500000,0.1148437500,0.0481250000,0.0117187500,54.2080480000
0.4062500000,0.1023437500,0.0581250000,0.0142187500,41.4635840000
0.6062500000,0.1273437500,0.0381250000,0.0192187500,36.7651200000
0.3562500000,0.1210937500,0.0331250000,0.0129687500,65.5895600000
0.5562500000,0.1460937500,0.0531250000,0.0179687500,38.8163440000
0.4562500000,0.1335937500,0.0431250000,0.0154687500,48.4962680000
0.6562500000,0.1085937500,0.0631250000,0.0104687500,51.8337960000
0.3312500000,0.1117187500,0.0406250000,0.0198437500,38.4284000000
0.5312500000,0.1367187500,0.0606250000,0.0148437500,43.6260920000
0.4312500000,0.1492187500,0.0306250000,0.0123437500,77.9588320000
0.6312500000,0.1242187500,0.0506250000,0.0173437500,36.1038000000
0.3812500000,0.1304687500,0.0556250000,0.0110937500,66.2646720000
0.5812500000,0.1054687500,0.0356250000,0.0160937500,40.6376040000
0.4812500000,0.1179687500,0.0656250000,0.0185937500,31.7966400000
0.6812500000,0.1429687500,0.0456250000,0.0135937500,50.9848040000
0.3187500000,0.1132812500,0.0543750000,0.0157812500,45.4865880000
0.5187500000,0.1382812500,0.0343750000,0.0107812500,74.1305440000
0.4187500000,0.1257812500,0.0643750000,0.0132812500,48.8672640000
0.6187500000,0.1007812500,0.0443750000,0.0182812500,32.3008200000
0.3687500000,0.1445312500,0.0493750000,0.0145312500,59.6192280000
0.5687500000,0.1195312500,0.0693750000,0.0195312500,28.9079820000
0.4687500000,0.1070312500,0.0393750000,0.0170312500,38.9426880000
0.6687500000,0.1320312500,0.0593750000,0.0120312500,50.4376560000
0.3437500000,0.1351562500,0.0368750000,0.0176562500,53.3441720000
0.5437500000,0.1101562500,0.0568750000,0.0126562500,45.8276840000
0.4437500000,0.1226562500,0.0468750000,0.0101562500,68.0650640000
0.6437500000,0.1476562500,0.0668750000,0.0151562500,41.3072720000
0.3937500000,0.1039062500,0.0618750000,0.0114062500,51.6863240000
0.5937500000,0.1289062500,0.0418750000,0.0164062500,41.9664480000
0.4937500000,0.1414062500,0.0518750000,0.0189062500,37.7438040000
0.6937500000,0.1164062500,0.0318750000,0.0139062500,50.4761440000
0.3031250000,0.1332031250,0.0509375000,0.0138281250,66.5967440000
0.5031250000,0.1082031250,0.0309375000,0.0188281250,37.9432080000
0.4031250000,0.1207031250,0.0609375000,0.0163281250,39.8876520000
0.6031250000,0.1457031250,0.0409375000,0.0113281250,65.8500840000
0.3531250000,0.1019531250,0.0459375000,0.0150781250,43.7581880000
0.5531250000,0.1269531250,0.0659375000,0.0100781250,59.1221320000
0.4531250000,0.1394531250,0.0359375000,0.0125781250,66.3043640000
0.6531250000,0.1144531250,0.0559375000,0.0175781250,32.8847980000
0.3281250000,0.1175781250,0.0384375000,0.0119531250,68.9020080000
0.5281250000,0.1425781250,0.0584375000,0.0169531250,39.7812160000
0.4281250000,0.1300781250,0.0484375000,0.0194531250,37.2731560000
0.6281250000,0.1050781250,0.0684375000,0.0144531250,36.3784800000
